기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2022.1/4	합계	4,451,444	9,732,617	4,716,704	5,015,913	9,506,778	4,613,910	4,892,868	225,839	102,794	123,045	2.14	1,628,980
2022.1/4	종로구	73,766	153,684	74,018	79,666	144,275	69,911	74,364	9,409	4,107	5,302	1.96	28,064
2022.1/4	중구	63,767	131,450	63,869	67,581	122,173	59,448	62,725	9,277	4,421	4,856	1.92	24,742
2022.1/4	용산구	111,207	236,518	114,571	121,947	222,169	106,735	115,434	14,349	7,836	6,513	2	39,461
2022.1/4	성동구	134,533	291,609	141,662	149,947	285,073	138,847	146,226	6,536	2,815	3,721	2.12	46,896
2022.1/4	광진구	169,483	353,110	169,525	183,585	340,707	164,346	176,361	12,403	5,179	7,224	2.01	52,604
2022.1/4	동대문구	169,695	352,592	172,318	180,274	337,982	166,823	171,159	14,610	5,495	9,115	1.99	62,963
2022.1/4	중랑구	187,693	393,600	193,623	199,977	389,043	191,835	197,208	4,557	1,788	2,769	2.07	72,851
2022.1/4	성북구	197,296	442,680	212,277	230,403	433,150	208,691	224,459	9,530	3,586	5,944	2.2	75,719
2022.1/4	강북구	144,725	300,824	145,934	154,890	297,384	144,643	152,741	3,440	1,291	2,149	2.05	64,961
2022.1/4	도봉구	138,836	318,100	154,440	163,660	316,098	153,716	162,382	2,002	724	1,278	2.28	65,122
2022.1/4	노원구	219,065	514,445	247,417	267,028	510,486	245,663	264,823	3,959	1,754	2,205	2.33	89,426
2022.1/4	은평구	215,178	476,013	227,172	248,841	472,259	225,640	246,619	3,754	1,532	2,222	2.19	88,418
2022.1/4	서대문구	145,044	317,075	149,805	167,270	305,866	145,958	159,908	11,209	3,847	7,362	2.11	55,012
2022.1/4	마포구	180,702	378,629	176,886	201,743	368,331	173,073	195,258	10,298	3,813	6,485	2.04	55,168
2022.1/4	양천구	181,765	449,378	219,882	229,496	446,182	218,554	227,628	3,196	1,328	1,868	2.45	69,953
2022.1/4	강서구	272,572	578,426	277,797	300,629	573,046	275,422	297,624	5,380	2,375	3,005	2.1	93,924
2022.1/4	구로구	181,916	419,984	208,027	211,957	396,017	195,002	201,015	23,967	13,025	10,942	2.18	73,864
2022.1/4	금천구	118,697	244,901	123,959	120,942	231,098	116,568	114,530	13,803	7,391	6,412	1.95	41,819
2022.1/4	영등포구	188,193	400,241	198,080	202,161	376,740	185,696	191,044	23,501	12,384	11,117	2	63,547
2022.1/4	동작구	186,419	394,649	190,377	204,272	386,017	186,648	199,369	8,632	3,729	4,903	2.07	67,470
2022.1/4	관악구	279,353	500,336	250,450	249,886	486,375	244,409	241,966	13,961	6,041	7,920	1.74	80,686
2022.1/4	서초구	169,895	413,677	197,665	216,012	409,823	195,806	214,017	3,854	1,859	1,995	2.41	61,404
2022.1/4	강남구	234,612	537,338	257,096	280,242	532,577	254,866	277,711	4,761	2,230	2,531	2.27	79,575
2022.1/4	송파구	285,106	668,261	321,963	346,298	662,607	319,407	343,200	5,654	2,556	3,098	2.32	99,854
2022.1/4	강동구	201,926	465,097	227,891	237,206	461,300	226,203	235,097	3,797	1,688	2,109	2.28	75,477
